beta,temp,M,Z,U,S,F
2.0,0.5,110,121.92847162276448,-0.059257132077836526,4.684920310463538,-2.401717287309606
5.0,0.2,110,155.74476195388542,-0.11329576577374433,4.481739697118602,-1.0096437051974647
10.0,0.1,110,460.93037586582017,-0.3389549917697045,2.743697085403024,-0.6133247003100069
20.0,0.05,110,44339.44581881427,-0.4971881286311833,0.7558674120204988,-0.5349814992322082
50.0,0.02,110,144009803396.95023,-0.49999998736541457,0.6931478450798901,-0.5138629442670124
0.005,200.0,182,182.0300093268147,-0.032982099355964724,5.204006649398815,-1040.834311979119
0.01,100.0,182,182.06003732982208,-0.032997194594802194,5.20400653617249,-520.4336508118438
0.02,50.0,182,182.12014950011286,-0.03302747187254778,5.20400608191674,-260.23333156770957
0.05,20.0,182,182.3009377821875,-0.03311900263646366,5.204002875709544,-104.11317651682734
0.1,10.0,182,182.6037740541669,-0.03327391418243534,5.203991244952732,-52.07318636370975
0.2,5.0,182,183.2152829112864,-0.033592821688378766,5.203943306427771,-26.05330935382723
0.5,2.0,182,185.09919086445313,-0.03462712890203772,5.203578283776108,-10.441783696454253
1.0,1.0,182,188.42376231952187,-0.03664573893782841,5.202047742212467,-5.238693481150295
2.0,0.5,182,195.9565083982799,-0.04211801277690585,5.193656713127019,-2.638946369340415
5.0,0.2,182,232.9224625914899,-0.08035779104953718,5.04891666435764,-1.0901411239210652
10.0,0.1,182,543.6581185839826,-0.28949010932563657,3.403419497551439,-0.6298320590807805
20.0,0.05,182,44434.49969958152,-0.49615425925896206,0.778686281777964,-0.5350885733478603
50.0,0.02,182,144009803541.13715,-0.4999999868787056,0.6931478704165694,-0.5138629442870369
0.005,200.0,280,280.0350094543679,-0.02501038312581124,5.634789577203151,-1126.982925823756
0.01,100.0,280,280.0700378400435,-0.025020786156832654,5.634789499172115,-563.5039707033683
0.02,50.0,280,280.140151541068,-0.025041652112012543,5.634789186116141,-281.76450095791904
0.05,20.0,280,280.35095053945906,-0.025104732335499355,5.634786976492759,-112.72084426219068
0.1,10.0,280,280.70382509193337,-0.025211495546618164,5.63477896069551,-56.37300110250172
0.2,5.0,280,281.41548713182095,-0.025431298407119548,5.634745919489489,-28.199160895854565
0.5,2.0,280,283.60046854666194,-0.026144415974038625,5.634494238808735,-11.295132893591509
1.0,1.0,280,287.4288817585791,-0.027537887897777634,5.633437573942921,-5.660975461840699
2.0,0.5,280,295.97705610381047,-0.03133322792059192,5.627615482315774,-2.8451409690784786
5.0,0.2,280,336.05221080050654,-0.05882859363447624,5.52312356900638,-1.1634533074357523
10.0,0.1,280,652.1861284376068,-0.24301509944148597,4.050178999835926,-0.6480329994250785
20.0,0.05,280,44554.6867294059,-0.4948434003397592,0.8076046221284082,-0.5352236314461796
50.0,0.02,280,144009803704.369,-0.49999998632353304,0.6931478993086743,-0.5138629443097066
0.005,200.0,408,408.0400095520254,-0.019615287106634502,6.011267155788317,-1202.27304644477
0.01,100.0,408,408.08003823067867,-0.019622745303844162,6.011267099845902,-601.1463327298941
0.02,50.0,408,408.1601531036494,-0.01963770451073437,6.011266875410158,-300.58298147501864
0.05,20.0,408,408.4009603063557,-0.01968292696611154,6.0112652913262075,-120.24498875349026
