beta,temp,M,Z,U,S,F
1.0,1.0,92,1335.4551422099912,0.057071582764455855,7.254099025989586,-7.19702744322513
2.0,0.5,92,3095.9319475533357,-1.5397939248691215,4.958256403965367,-4.018922126851805
5.0,0.2,92,3315591.9916657703,-2.7445857814392243,1.29121783815054,-3.0028293490693323
10.0,0.1,92,6183534515702.649,-2.936767306502433,0.08523808699249585,-2.9452911152016825
20.0,0.05,92,3.73154227548366e+25,-2.944049141845486,0.00046611482033766895,-2.9440724475865028
50.0,0.02,92,8.505114497026613e+63,-2.9440705709331496,4.402163307972788e-11,-2.94407057093403
0.005,200.0,160,12493.446728851577,3.5879089911973376,9.450899069081295,-1886.5919048250616
0.01,100.0,160,12271.709348298593,3.5751557714753943,9.450803396906588,-941.5051839191834
0.02,50.0,160,11842.24447320654,3.549483860322885,9.450418134672697,-468.971422873312
0.05,20.0,160,10658.510695515608,3.4711545205802854,9.447671704374633,-185.48227956691235
0.1,10.0,160,8990.334295368097,3.3363085703761866,9.43753616905866,-91.03905312021041
0.2,5.0,160,6531.289377787522,3.051327665077661,9.39462519027951,-43.92179828631989
0.5,2.0,160,3006.7654036744975,2.101124178745927,9.059182252581913,-16.017240326417898
1.0,1.0,160,1591.3391193113353,0.4729259999981006,7.845257154153033,-7.372331154154932
2.0,0.5,160,3146.0361958047647,-1.508622330383749,5.036653928126168,-4.026949294446833
5.0,0.2,160,3359734.779005962,-2.7480856943370577,1.2869441223189273,-3.005474518800843
10.0,0.1,160,6367556082501.253,-2.9397866152046035,0.08437069933220213,-2.948223685137824
20.0,0.05,160,3.958097971227144e+25,-2.946996753748477,0.0004558494658777692,-2.947019546221771
50.0,0.02,160,9.855452601975899e+63,-2.947017714485198,4.151598609162321e-11,-2.9470177144860283
0.005,200.0,254,31234.37696933399,5.646836124941289,10.377508773797782,-2069.8549186346154
0.01,100.0,254,30366.895722871806,5.619653875682442,10.377304876322755,-1032.1108337565931
0.02,50.0,254,28715.274344459413,5.565072674466638,10.376485920789083,-513.2592233649875
0.05,20.0,254,24360.225064494774,5.399703120699504,10.3706921169169,-202.01413921763847
0.1,10.0,254,18726.728176635803,5.119416166354626,10.349648713239407,-98.37707096603944
0.2,5.0,254,11548.163234043566,4.547277209943216,10.263737117936858,-46.77140837974107
0.5,2.0,254,3815.903017901013,2.8568423809458765,9.675353808121988,-16.4938652352981
1.0,1.0,254,1660.8671660535213,0.6226134841315282,8.037708618273253,-7.415095134141724
2.0,0.5,254,3171.234495385508,-1.5105695246820763,5.040737172419692,-4.030938110891922
5.0,0.2,254,3453697.5218890547,-2.755631639968664,1.2767977607301493,-3.0109911921146937
10.0,0.1,254,6771683622017.243,-2.9461175788671405,0.082595071892275,-2.954377086056368
20.0,0.05,254,4.479096457513533e+25,-2.953180665568825,0.00043535596993636474,-2.9532024333673217
50.0,0.02,254,1.3425739154282008e+64,-2.9532006911102897,3.6748886736701754e-11,-2.9532006911110247
0.005,200.0,378,68535.58198334395,7.75540997851514,11.173885384290353,-2227.0216668795556
0.01,100.0,378,65935.90272946695,7.71254519281566,11.173563830279189,-1109.6438378351033
0.02,50.0,378,61068.010769510525,7.626334814107055,11.172270149011721,-550.987172636479
0.05,20.0,378,48770.13970042276,7.364146559292557,11.163080841139152,-215.89747026349048
0.1,10.0,378,34125.18884048264,6.917393414431227,11.12953040770211,-104.37791066258987
0.2,5.0,378,17882.72492661425,6.004564477802548,10.992503333493541,-48.95795218966516
0.5,2.0,378,4387.156787429884,3.448918088732635,10.11089568399349,-16.77287327925435
1.0,1.0,378,1683.7285815251912,0.6872056084591537,8.115971615405085,-7.428766006945931
2.0,0.5,378,3177.980953819682,-1.511799644054622,5.040402065835312,-4.032000676972278
5.0,0.2,378,3490322.3791163885,-2.758961071746295,1.270699303420736,-3.013100932430442
10.0,0.1,378,6943104567815.229,-2.948730453875088,0.08146559573345075,-2.956877013448433
20.0,0.05,378,4.710513413519121e+25,-2.9557000986746718,0.0004222584388620131,-2.955721211596615
50.0,0.02,378,1.5227689681739695e+64,-2.9557195263753453,3.387207810883216e-11,-2.955719526376023
0.005,200.0,536,136235.1605900243,10.189160399507411,11.873083595490826,-2364.427558698658
0.01,100.0,536,129490.4726365759,10.120876625700332,11.872571353298369,-1177.1362587041365
0.02,50.0,536,117106.58399350481,9.983513815296485,11.870510049704018,-583.5419886699044
0.05,20.0,536,87341.45451393544,9.565808017225603,11.855870881230626,-227.55160960738692
0.1,10.0,536,55103.94420168699,8.856283398787449,11.802604915065588,-109.16976575186843
0.2,5.0,536,24411.721580840876,7.431019376826617,11.589022563952419,-50.514093442935476
0.5,2.0,536,4674.385859860679,3.824441540350556,10.36207383639396,-16.899706132437366
1.0,1.0,536,1688.5575553507947,0.7031815004508598,8.134811426370579,-7.431629925919719
2.0,0.5,536,3182.126230453789,-1.5130726318231225,5.039159614626115,-4.0326524391361795
5.0,0.2,536,3520101.657399227,-2.7618118805286844,1.2649410244568018,-3.014800085420045
10.0,0.1,536,7088060767396.8545,-2.9509024036515146,0.08040886595777029,-2.9589432902472916
20.0,0.05,536,4.910985023107194e+25,-2.957784585446614,0.00041015330876481955,-2.9578050931120523
50.0,0.02,536,1.6899975378359766e+64,-2.957803460472394,3.133630835148187e-11,-2.9578034604730212
