beta,temp,M,Z,U,S,F
20.0,0.05,254,7.691648972324878e+24,-2.8651022079783015,0.00013326355309049165,-2.865108871155956
50.0,0.02,254,1.640740081692085e+62,-2.865108463499998,8.631727233474816e-14,-2.8651084635
0.005,200.0,378,70994.63148327342,0.7259417588612381,11.173989249047317,-2234.071908050602
0.01,100.0,378,70737.6180712488,0.724757534098326,11.173980365936846,-1116.673279059586
0.02,50.0,378,70227.62966819321,0.7223787592532546,11.1739446727817,-557.9748548798317
0.05,20.0,378,68729.49572093674,0.7151578595362754,11.173691619962925,-222.75867453972222
0.1,10.0,378,66335.63490640563,0.7028273535042483,11.172765246868506,-111.02482511518082
0.2,5.0,378,61912.63712314761,0.6769447811593741,11.168868547915297,-55.16739795841711
0.5,2.0,378,51194.73559888589,0.5867144989080535,11.136749234860993,-21.686783970813934
1.0,1.0,378,40145.65424103181,0.3670719493296343,10.967341424764978,-10.600269475435343
2.0,0.5,378,41578.51829397591,-0.5521877218590827,9.53096348199338,-5.317669462855773
5.0,0.2,378,5557941.613213338,-2.1731521638971105,4.664977564744456,-3.106147676846002
10.0,0.1,378,2896757401511.324,-2.8461319540739414,0.23329354918967174,-2.869461308992909
20.0,0.05,378,7.98196114378502e+24,-2.866954007397562,0.00014622254072071663,-2.866961318524598
50.0,0.02,378,1.799965778486006e+62,-2.8669608683679977,1.1079383273328743e-13,-2.866960868368
