qdot,S_q,Suu_q,Sud_q,Sx_q,Sc_q,q,D_q,beta,theta,M
6,0.99582608335304,0.995827261488377,-1.1781353369105825e-06,-0.0041739215499717,1.1830383487443354e-06,7.577907363102549,16,0.005430107179652,100.0,38
8,0.9972171891889762,0.9972174830626,-2.938736239043346e-07,-0.0027825169373999,0.0,8.750213711962608,6,0.005430107179652,100.0,38
1,0.98499287383955,0.985241538586424,-0.0002486647468739,-0.014662075244205,-9.638616937099536e-05,3.0936677262801355,6,0.0108602143593041,50.0,38
2,0.9884496913655888,0.988527465712121,-7.777434653212971e-05,-0.0114839349332776,1.1400645398662144e-05,4.375106855981304,12,0.0108602143593041,50.0,38
3,0.9913964318960756,0.9914255085472824,-2.907665120676219e-05,-0.0085988965592579,2.44051065405343e-05,5.358389683653281,8,0.0108602143593041,50.0,38
4,0.99305371611936,0.993068379291006,-1.4663171645751594e-05,-0.0069508962624428,1.927555344867363e-05,6.187335452560271,6,0.0108602143593041,50.0,38
5,0.9971363227209926,0.9971382515793094,-1.928858316760511e-06,-0.0028656499994702,3.901578779652858e-06,6.917651335759596,24,0.0108602143593041,50.0,38
6,0.9959194656305324,0.9959217573438778,-2.2917133453520502e-06,-0.0040805537316043,2.3110754821276144e-06,7.577907363102549,16,0.0108602143593041,50.0,38
8,0.9972792485318104,0.9972798188583418,-5.703265314859442e-07,-0.0027201811416581,0.0,8.750213711962608,6,0.0108602143593041,50.0,38
1,0.9837644683610168,0.9844108265578192,-0.0006463581968023,-0.0153416935691379,-0.0002474798730428,3.0936677262801355,6,0.0271505358982603,20.0,38
2,0.9881776355791044,0.9883731136500232,-0.0001954780709187,-0.0116588620516548,3.197570167806785e-05,4.375106855981304,12,0.0271505358982603,20.0,38
3,0.9913243108982536,0.9913968726522898,-7.256175403610947e-05,-0.0086647322176607,6.160486995061164e-05,5.358389683653281,8,0.0271505358982603,20.0,38
4,0.9932980513239013,0.9933329213584312,-3.4870034530078575e-05,-0.0067147920618413,4.7713420272623894e-05,6.187335452560271,6,0.0271505358982603,20.0,38
5,0.997118448279498,0.9971232243638436,-4.776084345786075e-06,-0.0028866160897034,9.840453547140072e-06,6.917651335759596,24,0.0271505358982603,20.0,38
6,0.9961982990436788,0.9962035503064992,-5.251262820469202e-06,-0.0038018172217349,5.3675282342526305e-06,7.577907363102549,16,0.0271505358982603,20.0,38
8,0.997464577607616,0.9974658748830818,-1.297275465698368e-06,-0.0025341251169181,0.0,8.750213711962608,6,0.0271505358982603,20.0,38
1,0.9815626330338464,0.9829378277971536,-0.0013751947633072,-0.0165470221195637,-0.0005151500832827,3.0936677262801355,6,0.0543010717965206,10.0,38
2,0.9876877662282758,0.988081743817424,-0.000393977589148,-0.0119940727172107,7.581653463455431e-05,4.375106855981304,12,0.0543010717965206,10.0,38
3,0.9912929940661518,0.991436472709546,-0.0001434786433941,-0.0086879191140769,0.0001243918236228,5.358389683653281,8,0.0543010717965206,10.0,38
4,0.9936897520324388,0.9937534098511216,-6.365781868268213e-05,-0.0063397444332908,9.315428441241464e-05,6.187335452560271,6,0.0543010717965206,10.0,38
