q,n_q_alpha,n_q_beta,n_q,D_q,beta,theta,M,T_q
0.0,0.2980552755407245,0.2980552755407245,0.596110551081449,1,0.3059215312480037,1.7749999999999997,38,0.0
3.093668,0.0793347220225642,0.0793347220225642,0.1586694440451285,6,0.3059215312480037,1.7749999999999997,38,4.555771831499446
4.375107,0.0188280326936574,0.0188280326936574,0.0376560653873149,12,0.3059215312480037,1.7749999999999997,38,4.324775294858512
0.0,0.3030422278185654,0.3030422278185654,0.6060844556371308,1,0.3102918388372609,1.7499999999999996,38,0.0
3.093668,0.0792993767405787,0.0792993767405787,0.1585987534811575,6,0.3102918388372609,1.7499999999999996,38,4.553742139632623
4.375107,0.0184301259781634,0.0184301259781635,0.036860251956327,12,0.3102918388372609,1.7499999999999996,38,4.233376625606872
0.0,0.3081915270069,0.3081915270069002,0.6163830540138002,1,0.3147888220088154,1.7249999999999996,38,0.0
3.093668,0.0792492555772578,0.0792492555772578,0.1584985111545157,6,0.3147888220088154,1.7249999999999996,38,4.550863947358192
4.375107,0.0180260782941293,0.0180260782941293,0.0360521565882587,12,0.3147888220088154,1.7249999999999996,38,4.140567383649045
0.0,0.3135096869640343,0.3135096869640344,0.6270193739280687,1,0.3194180693912979,1.6999999999999995,38,0.0
3.093668,0.0791832173567912,0.0791832173567912,0.1583664347135824,6,0.3194180693912979,1.6999999999999995,38,4.547071723008824
4.375107,0.0176159174079349,0.0176159174079349,0.0352318348158698,12,0.3194180693912979,1.6999999999999995,38,4.046353946887341
0.0,0.3190035016703118,0.3190035016703118,0.6380070033406237,1,0.3241855032628099,1.6749999999999996,38,0.0
3.093668,0.0791000400890495,0.0791000400890495,0.158200080178099,6,0.3241855032628099,1.6749999999999996,38,4.542295294179959
4.375107,0.0171996881496159,0.0171996881496159,0.0343993762992318,12,0.3241855032628099,1.6749999999999996,38,3.950746612724296
0.0,0.3246800565634404,0.3246800565634404,0.6493601131268808,1,0.3290974048273979,1.6499999999999997,38,0.0
3.093668,0.078998415421145,0.0789984154211451,0.1579968308422902,6,0.3290974048273979,1.6499999999999997,38,4.536459529112391
4.375107,0.0167774542424741,0.0167774542424741,0.0335549084849482,12,0.3290974048273979,1.6499999999999997,38,3.853760018321709
0.0,0.3305467402655239,0.3305467402655239,0.6610934805310478,1,0.3341604418247425,1.6249999999999998,38,0.0
3.093668,0.0788769427465996,0.0788769427465996,0.1577538854931993,6,0.3341604418247425,1.6249999999999998,38,4.529483998413064
4.375107,0.0163493002712398,0.0163493002712398,0.0326986005424797,12,0.3341604418247425,1.6249999999999998,38,3.755413592685148
0.0,0.3366112567254935,0.3366112567254936,0.673222513450987,1,0.3393816987282541,1.5999999999999996,38,0.0
3.093668,0.0787341229595166,0.0787341229595166,0.1574682459190332,6,0.3393816987282541,1.5999999999999996,38,4.521282616390341
4.375107,0.0159153337931171,0.0159153337931171,0.0318306675862343,12,0.3393816987282541,1.5999999999999996,38,3.6557320415683474
0.0,0.3428816378048964,0.3428816378048964,0.6857632756097929,1,0.3447687098191788,1.5749999999999995,38,0.0
3.093668,0.0785683518427659,0.0785683518427659,0.1571367036855319,6,0.3447687098191788,1.5749999999999995,38,4.51176326137257
4.375107,0.0154756875948756,0.0154756875948756,0.0309513751897512,12,0.3447687098191788,1.5749999999999995,38,3.5547458659243025
0.0,0.3493662563392415,0.3493662563392415,0.6987325126784831,1,0.3503294954614236,1.5499999999999998,38,0.0
3.093668,0.078377913081512,0.078377913081512,0.1567558261630241,6,0.3503294954614236,1.5499999999999998,38,4.500827374512093
4.375107,0.0150305220976405,0.0150305220976405,0.030061044195281,12,0.3503294954614236,1.5499999999999998,38,3.452491914282585
0.0,0.356073839710694,0.356073839710694,0.7121476794213881,1,0.3560726019443977,1.5249999999999997,38,0.0
3.093668,0.078160970896654,0.078160970896654,0.1563219417933081,6,0.3560726019443977,1.5249999999999997,38,4.488369536762829
4.375107,0.0145800279091151,0.0145800279091151,0.0291600558182303,12,0.3560726019443977,1.5249999999999997,38,3.3490139689915694
0.0,0.3630134839699025,0.3630134839699026,0.726026967939805,1,0.3620071453101377,1.4999999999999998,38,0.0
3.093668,0.0779155622971991,0.0779155622971991,0.1558311245943982,6,0.3620071453101377,1.4999999999999998,38,4.474277023975219
4.375107,0.0141244285205752,0.0141244285205752,0.0282488570411504,12,0.3620071453101377,1.4999999999999998,38,3.2443633657145723
