q,n_q_alpha,n_q_beta,n_q,D_q,beta,theta,M,T_q
4.375107,1.2984377121105702e-05,1.2984377121105702e-05,2.5968754242211404e-05,12,5.430107179652064,0.1,38,0.0029824950012648
0.0,0.9984204217454165,0.9984204217454165,1.996840843490833,1,10.860214359304129,0.05,38,0.0
3.093668,0.0002372942881827,0.0002372942881827,0.0004745885763655,6,10.860214359304129,0.05,38,0.0136265509769008
4.375107,1.2984377123893931e-05,1.2984377123893931e-05,2.5968754247787863e-05,12,10.860214359304129,0.05,38,0.0029824950019052
0.0,0.9984204217454165,0.9984204217454165,1.996840843490833,1,27.150535898260323,0.02,38,0.0
3.093668,0.0002372942881827,0.0002372942881827,0.0004745885763655,6,27.150535898260323,0.02,38,0.0136265509769008
4.375107,1.2984377123893931e-05,1.2984377123893931e-05,2.5968754247787863e-05,12,27.150535898260323,0.02,38,0.0029824950019052
0.0,0.0379925949496276,0.0379925949496276,0.0759851898992552,1,0.002715053589826,200.0,54,0.0
3.093668,0.0375107463139674,0.0375107463139674,0.0750214926279348,6,0.002715053589826,200.0,54,2.1540429849503986
4.375107,0.0370350248609988,0.0370350248609988,0.0740700497219977,12,0.002715053589826,200.0,54,8.506898366353163
5.35839,0.0365653286043226,0.0365653286043226,0.0731306572086453,8,0.002715053589826,200.0,54,8.399010169058307
0.0,0.0389681556311495,0.0389681556311494,0.077936311262299,1,0.005430107179652,100.0,54,0.0
3.093668,0.0379863396816472,0.0379863396816472,0.0759726793632944,6,0.005430107179652,100.0,54,2.1813537867341046
4.375107,0.0370290525321937,0.0370290525321937,0.0740581050643875,12,0.005430107179652,100.0,54,8.505526529980797
5.35839,0.0360956469865802,0.0360956469865802,0.0721912939731605,8,0.005430107179652,100.0,54,8.2911248899097
0.0,0.0409802964015047,0.0409802964015047,0.0819605928030094,1,0.0108602143593041,50.0,54,0.0
3.093668,0.0389427933494097,0.0389427933494097,0.0778855866988194,6,0.0108602143593041,50.0,54,2.236277842262872
4.375107,0.0370051749310191,0.0370051749310191,0.0740103498620383,12,0.0108602143593041,50.0,54,8.500041875192878
5.35839,0.0351626055412258,0.0351626055412258,0.0703252110824517,8,0.0108602143593041,50.0,54,8.07680643888508
0.0,0.0475225814641619,0.0475225814641619,0.0950451629283239,1,0.0271505358982603,20.0,54,0.0
3.093668,0.0418470065873032,0.0418470065873032,0.0836940131746064,6,0.0271505358982603,20.0,54,2.4030513876229973
4.375107,0.0368374181809094,0.0368374181809094,0.0736748363618188,12,0.0271505358982603,20.0,54,8.46150836188191
5.35839,0.0324182951051382,0.0324182951051382,0.0648365902102764,8,0.0271505358982603,20.0,54,7.446441769961306
0.0,0.0602223499927181,0.0602223499927181,0.1204446999854363,1,0.0543010717965206,10.0,54,0.0
